minute,kills_diff,towers_diff,dragons_diff,win,gold_diff_per_min
0,0,0,0,0,0.0
1,0,0,0,0,2.5
2,0,0,0,0,32.333333333333336
3,0,0,0,0,28.5
4,-1,0,0,0,-100.8
5,0,0,0,0,-45.0
6,-1,0,0,0,-126.42857142857143
7,-1,0,0,0,-121.75
8,-2,0,0,0,-159.11111111111111
9,-4,0,-1,0,-232.0
10,-4,0,-1,0,-200.0909090909091
11,-3,0,-1,0,-128.41666666666666
12,-6,-1,-1,0,-322.46153846153845
13,-6,-1,-1,0,-258.57142857142856
14,-7,-2,-1,0,-297.6666666666667
15,-6,-2,-2,0,-256.75
16,-6,-2,-2,0,-241.23529411764707
16,-9,-2,-2,0,-355.1764705882353
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,51.666666666666664
3,0,0,0,1,25.75
4,1,0,0,1,125.6
5,2,0,0,1,188.83333333333334
6,3,0,0,1,246.57142857142858
7,5,0,0,1,279.125
8,6,0,0,1,353.1111111111111
9,6,0,0,1,307.6
10,6,0,-1,1,279.0
11,8,0,-1,1,294.5
12,8,0,-1,1,311.15384615384613
13,10,1,-1,1,389.07142857142856
14,10,1,-1,1,353.4
15,10,1,-1,1,329.0625
16,11,2,0,1,348.05882352941177
17,12,2,0,1,371.77777777777777
18,14,3,0,1,420.1578947368421
19,15,5,0,1,480.35
19,17,5,0,1,468.0
0,0,0,0,1,0.0
1,0,0,0,1,-2.5
2,1,0,0,1,138.33333333333334
3,1,0,0,1,78.0
4,0,0,0,1,-46.2
5,1,0,0,1,15.833333333333334
6,0,0,0,1,-53.714285714285715
7,0,0,0,1,-4.25
8,3,0,0,1,110.77777777777777
9,1,0,-1,1,-18.8
10,3,0,-1,1,94.27272727272727
11,6,0,-1,1,200.91666666666666
12,5,0,-1,1,143.6153846153846
13,5,0,-1,1,117.85714285714286
14,6,1,-1,1,179.93333333333334
15,6,0,0,1,136.875
16,7,1,0,1,161.41176470588235
17,8,1,0,1,127.11111111111111
18,7,2,0,1,142.21052631578948
19,6,1,0,1,41.2
20,4,0,0,1,-42.23809523809524
21,2,0,-1,1,-128.8181818181818
22,3,1,-1,1,-67.30434782608695
23,3,1,-1,1,-83.125
24,5,1,-1,1,-49.64
25,7,1,-1,1,5.153846153846154
26,9,0,-1,1,4.407407407407407
27,11,0,0,1,78.85714285714286
28,12,1,0,1,82.79310344827586
29,16,3,0,1,193.43333333333334
30,16,3,0,1,173.1290322580645
31,17,4,0,1,192.625
31,18,4,0,1,209.34375
0,0,0,0,0,0.0
1,0,0,0,0,-10.0
2,0,0,0,0,-15.333333333333334
3,-1,0,0,0,-161.0
4,-1,0,0,0,-158.6
5,-1,0,0,0,-111.16666666666667
6,0,0,0,0,-59.142857142857146
